"MES_CODICE","MES_MITTENTE","MES_DS_CODICE","MES_BINARIO","MES_RICEZIONE","MES_LOTTO","MES_RECORDS","MES_ELABORAZIONE","MES_RISPOSTA","MES_IDENTIFICATIVO","MES_ANTEPRIMA","MES_NOME_FLUSSO","MES_TRANSAZIONE","MES_MES_CODICE","MES_CLIENT","MES_SERVER","MES_DUPLICATO","MES_DESTINATARIO","MES_TIPOLOGIA","MES_ERRORE"
6.711.261,5,13,,2017-01-01 12:24:34,,,2017-01-01 12:24:34,,,0,,6.688.894,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.711.304,5,15,,2017-01-01 13:28:43,,,2017-01-01 13:28:52,,,0,,6.688.936,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.711.341,1,10,,2017-01-01 15:02:14,,,2017-01-01 15:02:14,,,0,,6.688.971,6.711.339,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.711.563,5,15,,2017-01-01 18:57:03,,,2017-01-01 18:57:12,,,0,,6.689.189,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.711.606,5,13,,2017-01-01 19:37:30,,,2017-01-01 19:37:31,,,0,,6.689.232,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.711.612,1,10,,2017-01-01 19:44:53,,,2017-01-01 19:44:54,,,0,,6.689.238,6.711.610,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.711.646,6,9,,2017-01-01 20:00:07,,,2017-01-01 20:00:07,,,0,,6.689.271,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.711.689,1,23,,2017-01-01 21:10:08,,,2017-01-01 21:10:15,,"8cd26d5b-cd6c-4508-9783-ffe69eed2b40",0,,6.689.313,6.711.688,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.711.733,2,21,,2017-01-01 22:15:27,,,2017-01-01 22:15:28,,"59998",0,,6.689.356,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.711.787,2,17,,2017-01-01 23:20:00,,,2017-01-01 23:21:28,,,0,,6.689.409,,"192.168.40.11","192.168.40.28:7802",,1,IN,
6.711.909,1,22,,2017-01-02 08:02:07,,,2017-01-02 08:02:07,,,0,,6.689.522,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.712.205,1,26,,2017-01-02 09:25:41,,,2017-01-02 09:25:42,,ea043f99-acef-4754-90fc-ac79ea810859,0,,6.689.817,6.712.204,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
6.712.331,1,10,,2017-01-02 09:44:50,,,2017-01-02 09:44:50,,,0,,6.689.943,6.712.329,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.712.402,1,27,,2017-01-02 09:56:53,,,2017-01-02 09:56:54,,be3328cf-80d4-4d1c-b21b-0892b56e64b5,0,,6.690.013,6.712.400,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.712.440,6,9,,2017-01-02 10:05:12,,,2017-01-02 10:05:12,,,0,,6.690.051,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.712.589,5,12,,2017-01-02 10:30:00,,,2017-01-02 10:31:51,,c9d82f56-4385-41f3-ae73-26887c09e9d0,0,,6.690.200,,"192.168.40.150","192.168.40.28:7802",,1,IN,
6.712.709,6,10,,2017-01-02 10:44:36,,,2017-01-02 10:44:36,,,0,,6.690.320,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.712.743,1,27,,2017-01-02 10:50:36,,,2017-01-02 10:50:36,,"4a8d0ba1-a620-4356-9e61-fc254f741699",0,,6.690.354,6.712.741,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.712.896,1,23,,2017-01-02 11:08:16,,,2017-01-02 11:08:21,,"2e3de5a3-1aec-4282-99b7-8a59f4130ea8",0,,6.690.506,6.712.895,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.712.928,5,15,,2017-01-02 11:10:48,,,2017-01-02 11:10:53,,,0,,6.690.538,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.713.059,5,13,,2017-01-02 11:21:12,,,2017-01-02 11:21:13,,,0,,6.690.669,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.713.106,6,21,,2017-01-02 11:24:54,,,2017-01-02 11:24:55,,PPA126596,0,,6.690.716,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.713.339,2,21,,2017-01-02 11:47:28,,,2017-01-02 11:47:29,,"60012",0,,6.690.949,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.713.464,1,22,,2017-01-02 12:01:02,,,2017-01-02 12:01:02,,,0,,6.691.073,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.713.468,1,10,,2017-01-02 12:01:07,,,2017-01-02 12:01:07,,,0,,6.691.077,6.713.466,"192.168.40.11","192.168.40.28:7803",6.713.457,1,IN,
6.713.474,6,10,,2017-01-02 12:01:17,,,2017-01-02 12:01:17,,,0,,6.691.083,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.713.498,1,27,,2017-01-02 12:03:21,,,2017-01-02 12:03:21,,ed79c9a4-2f77-42b4-b724-14f965c5ce34,0,,6.691.107,6.713.496,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.713.645,1,15,,2017-01-02 12:17:41,,,2017-01-02 12:17:41,,d9941ce9-9740-4ef0-a8ad-78b36536f1b8,0,,6.691.254,6.713.644,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.713.830,1,15,,2017-01-02 12:32:47,,,2017-01-02 12:32:47,,"1c8c49ef-61ae-4c8c-8e6c-125d7a8f1780",0,,6.691.439,6.713.829,"192.168.2.131","192.168.40.28:7803",,1,IN,
6.713.836,5,13,,2017-01-02 12:33:27,,,2017-01-02 12:33:27,,,0,,6.691.445,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.713.938,1,10,,2017-01-02 12:43:40,,,2017-01-02 12:43:40,,,0,,6.691.547,6.713.937,SPQR086,SPQR086,,1,IN,
6.714.273,1,10,,2017-01-02 13:33:29,,,2017-01-02 13:33:29,,,0,,6.691.881,6.714.272,SPQR086,SPQR086,,1,IN,
6.714.487,5,15,,2017-01-02 14:09:16,,,2017-01-02 14:09:21,,,0,,6.692.094,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.714.699,1,15,,2017-01-02 14:50:53,,,2017-01-02 14:50:53,,"4fd12dff-0fed-4401-bc93-140956299497",0,,6.692.306,6.714.698,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.714.969,1,27,,2017-01-02 15:25:28,,,2017-01-02 15:25:29,,"1c9ed25a-073f-4de4-bb23-fba7f23c9b7b",0,,6.692.575,6.714.967,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
